0.00283  0.01619  0.01446 1.31684 -1.05229 0.34359 0
0.00164  0.01104  0.00753 -1.19207 -0.94745 -0.06277 0
0.01347  0.01611  0.00818 -0.96010 -0.75458 -0.15443 0
0.00146  0.01301  0.01739 -2.35820 -0.30908 -0.14129 0
0.01856  0.00679  0.00717 -1.91779 -0.64460 -0.27362 0
0.01171  0.01086  0.00051 -1.31226 -3.25165 2.61615 0
0.00916  0.00031  0.01055 -0.70954 0.70158 1.14975 0
0.00164  0.00670  0.00945 1.78888 -0.94359 -0.46237 0
0.01014  0.01490  0.01005 2.18594 -2.12155 -0.20016 0
0.01219  0.01635  0.00952 0.13480 -0.58002 -0.61166 0
0.00918  0.01075  0.00869 -0.05700 0.83462 1.61514 0
0.01184  0.01220  0.00629 0.24900 -0.46644 0.66934 0
0.01287  0.00171  0.00107 -1.08797 0.32783 0.97481 0
0.01450  0.01055  0.00660 -0.03984 1.38671 0.37660 0
0.00396  0.00129  0.00364 0.68551 0.96376 -1.14067 0
0.00018  0.01305  0.01730 0.61646 -1.37122 -1.20027 0
0.00003  0.00683  0.01345 -0.08387 -0.58537 -0.42051 0
0.01788  0.01024  0.00300 0.90810 -0.90710 -0.66765 0
0.00737  0.00085  0.00847 -2.13403 -0.63849 0.42386 0
0.00811  0.00196  0.00390 1.12358 -0.43054 0.30404 0
0.00960  0.01639  0.01070 0.93687 1.15089 -1.06174 0
0.01224  0.01017  0.00010 -0.03631 -1.17644 -0.19620 0
0.00673  0.01700  0.00536 -1.58796 0.80835 0.38215 0
0.00585  0.00113  0.00347 -0.78699 0.58014 -0.13246 0
0.01637  0.01619  0.00264 -0.99513 -0.87762 1.18233 0
0.01561  0.01492  0.01727 0.54606 2.21264 1.51933 0
0.00358  0.01446  0.01996 0.28265 -0.88546 -0.29287 0
0.00012  0.01233  0.01694 -0.19865 1.09848 0.45097 0
0.00120  0.01310  0.00958 -1.40284 2.91080 -0.16444 0
0.00384  0.01096  0.01870 -0.97394 0.45189 -1.49956 0
0.01905  0.00773  0.01979 0.39411 0.38779 0.53951 0
0.00807  0.00702  0.01537 -0.02214 0.68968 2.03136 0
0.01895  0.01096  0.00290 -1.48524 0.48567 -0.55918 0
0.00408  0.01597  0.00938 0.20468 -0.51219 -1.21835 0
0.01156  0.01095  0.01732 -1.70551 0.48295 1.41012 0
0.01262  0.01206  0.01327 -0.27471 2.20737 -0.76701 0
0.00340  0.01005  0.00560 -0.30526 -1.24631 -1.71870 0
0.01115  0.00884  0.00650 -0.81561 -0.01515 -1.05732 0
0.00477  0.01991  0.00285 0.16711 1.36133 0.44667 0
0.00204  0.01807  0.00751 -0.38900 -0.32112 0.51989 0
0.01650  0.00026  0.00343 -1.36645 1.98653 -0.21972 0
0.00112  0.00934  0.00829 1.27068 -0.60793 -1.79451 0
0.01174  0.01445  0.00356 0.24838 -0.42253 -0.86101 0
0.00431  0.00830  0.00320 2.06962 -1.46137 0.61880 0
0.01733  0.01770  0.01669 1.93831 0.81728 -0.84957 0
0.00034  0.00357  0.01295 0.07317 -1.05966 1.69765 0
0.00703  0.01712  0.01282 1.50386 -0.93758 0.18134 0
0.01976  0.00491  0.00117 -0.48893 1.68725 1.26370 0
0.01357  0.01430  0.01869 0.15678 0.31293 -0.65955 0
0.01900  0.01644  0.01294 -0.24335 -0.92572 0.53410 0
0.00439  0.00805  0.00927 -1.47833 -0.73355 -0.09438 0
0.00108  0.01714  0.00073 0.34378 -0.60284 1.46537 0
0.00606  0.00739  0.00468 0.24492 -0.42182 -0.37562 0
0.00951  0.00636  0.00387 1.82995 -0.00895 1.63556 0
0.01020  0.01687  0.01579 -1.16579 0.59571 -0.52756 0
0.01994  0.01455  0.01478 2.07668 0.35231 -1.32375 0
0.01450  0.00043  0.00072 2.62332 -2.04616 -1.64773 0
0.00155  0.01867  0.00048 -0.06154 0.69437 0.28645 0
0.00487  0.01951  0.01210 0.75889 -0.21133 -0.26449 0
0.00139  0.01228  0.00360 0.29550 -0.91757 0.12460 0
0.01578  0.01429  0.00656 -0.36272 -1.19563 0.52416 0
0.00816  0.00183  0.00265 -0.12890 -0.77984 1.45681 0
0.01676  0.00774  0.01692 1.78324 -1.70331 -1.12507 0
0.01384  0.00512  0.01024 0.02215 -0.12432 1.09157 0
0.01355  0.00230  0.00667 -0.44189 -1.66174 0.29477 0
